                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9299,                 4.0786,                 1.7918,                0.00232,                0.11181,                0.00499,                0.00223,                 1.8168,                 3.8141,                 1.5356,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 1.7985,                 3.7574,                 1.6079,                0.00394,                0.18196,                0.02465,                0.01467,                 1.6893,                 3.7144,                 1.3889,             0.00018559,             0.00018559,             0.00018559
                      3,                 1.7356,                 3.1361,                 1.4485,                0.00436,                0.21315,                0.01626,                0.01146,                 1.6635,                 3.5835,                 1.4333,             0.00028523,             0.00028523,             0.00028523
                      4,                  1.673,                 2.5224,                 1.4218,                0.00801,                0.34764,                0.13324,                0.04649,                 1.7132,                 3.4631,                 1.5083,             0.00038468,             0.00038468,             0.00038468
                      5,                 1.6299,                 2.2453,                 1.3672,                      1,                0.07132,                0.30536,                0.13708,                 1.5972,                 3.0418,                  1.332,             0.00048394,             0.00048394,             0.00048394
                      6,                 1.5565,                 2.0089,                 1.3164,                0.82625,                0.20274,                0.35184,                0.16519,                 1.6282,                 3.0943,                 1.3538,             0.00058299,             0.00058299,             0.00058299
                      7,                 1.5518,                 1.9574,                  1.324,                0.80265,                0.22667,                0.36854,                0.15386,                 1.6963,                 2.8901,                 1.4123,             0.00068185,             0.00068185,             0.00068185
                      8,                 1.5844,                 1.8832,                 1.3289,                0.82023,                0.16931,                0.33973,                0.17726,                 1.6727,                  2.965,                 1.4413,              0.0007805,              0.0007805,              0.0007805
                      9,                 1.5762,                 1.8575,                 1.2967,                0.71125,                0.32694,                0.32971,                0.17909,                 1.7869,                 2.7403,                 1.5443,             0.00087896,             0.00087896,             0.00087896
                     10,                 1.5127,                 1.7517,                 1.3088,                0.48851,                0.48578,                0.48827,                0.24517,                 1.7977,                 2.3313,                 1.4999,             0.00097722,             0.00097722,             0.00097722
                     11,                 1.5521,                 1.7079,                 1.2955,                0.82189,                0.51162,                0.57173,                0.26781,                 1.8005,                 2.0839,                 1.4864,              0.0010753,              0.0010753,              0.0010753
                     12,                 1.4772,                  1.669,                 1.2825,                 0.7352,                0.46909,                0.47882,                0.24693,                 1.8136,                  2.299,                 1.4668,              0.0011732,              0.0011732,              0.0011732
                     13,                 1.5103,                 1.6878,                 1.2924,                0.74645,                0.45829,                0.50761,                0.25444,                 1.8492,                 2.2092,                 1.4853,              0.0012708,              0.0012708,              0.0012708
                     14,                 1.5219,                 1.6032,                 1.3057,                0.79782,                0.50119,                0.54093,                 0.2672,                 1.8196,                 1.9936,                 1.4783,              0.0013683,              0.0013683,              0.0013683
                     15,                    1.5,                 1.5957,                 1.2844,                0.37644,                0.41635,                0.48312,                0.25123,                 1.7454,                 2.2664,                 1.3919,              0.0014092,              0.0014092,              0.0014092
                     16,                 1.5382,                 1.5771,                 1.2408,                0.76808,                0.31857,                0.43352,                0.21825,                 1.8414,                 2.2376,                 1.4705,              0.0014078,              0.0014078,              0.0014078
                     17,                 1.4386,                 1.4595,                 1.2237,                0.79653,                0.36174,                0.46306,                0.21252,                 1.8945,                 2.0933,                 1.5371,              0.0014064,              0.0014064,              0.0014064
                     18,                 1.5121,                  1.591,                 1.2852,                0.70816,                0.47304,                0.44495,                0.21104,                  1.849,                  2.234,                 1.5255,              0.0014049,              0.0014049,              0.0014049
                     19,                 1.4858,                 1.4783,                 1.2922,                0.68506,                0.31338,                0.34566,                0.18021,                 1.8306,                 2.6215,                 1.4958,              0.0014035,              0.0014035,              0.0014035
                     20,                 1.5143,                 1.5165,                 1.2946,                0.45315,                0.43906,                0.39195,                 0.1739,                 1.8593,                 2.5189,                 1.5693,              0.0014021,              0.0014021,              0.0014021
                     21,                 1.4697,                 1.4245,                  1.252,                0.69048,                0.48704,                0.49068,                 0.2325,                 1.8548,                 2.4087,                 1.5152,              0.0014007,              0.0014007,              0.0014007
                     22,                 1.4456,                 1.4829,                 1.2735,                0.71292,                0.38343,                0.47701,                0.24021,                 1.9015,                 2.1226,                 1.5042,              0.0013993,              0.0013993,              0.0013993
                     23,                 1.5714,                 1.4876,                 1.3033,                0.36735,                0.49272,                0.47023,                0.24219,                 1.8327,                 2.0974,                 1.4703,              0.0013979,              0.0013979,              0.0013979
                     24,                 1.4037,                 1.3587,                 1.2174,                0.47116,                0.56151,                0.49022,                0.24119,                 1.8333,                  1.955,                 1.4606,              0.0013965,              0.0013965,              0.0013965
                     25,                 1.4345,                  1.474,                 1.2512,                 0.4434,                0.58682,                0.52059,                0.26022,                 1.7645,                  1.852,                 1.4236,               0.001395,               0.001395,               0.001395
                     26,                 1.4929,                 1.4458,                 1.2979,                0.63661,                0.55703,                0.52676,                0.26672,                 1.7637,                 1.8996,                 1.4484,              0.0013936,              0.0013936,              0.0013936
                     27,                 1.4459,                 1.3528,                 1.2423,                 0.5871,                0.48384,                0.53896,                0.27738,                 1.7652,                 1.8342,                 1.4331,              0.0013922,              0.0013922,              0.0013922
                     28,                 1.4478,                 1.3097,                 1.2392,                0.46328,                0.50254,                0.48064,                0.24587,                 1.8047,                  1.954,                 1.4709,              0.0013908,              0.0013908,              0.0013908
                     29,                 1.4021,                 1.2757,                 1.2098,                0.42563,                0.53967,                0.44572,                0.23614,                 1.8528,                 2.0408,                 1.4995,              0.0013894,              0.0013894,              0.0013894
                     30,                 1.3338,                 1.2342,                 1.1955,                0.47523,                0.52249,                0.46745,                0.25104,                 1.7917,                 1.9972,                 1.5154,               0.001388,               0.001388,               0.001388
                     31,                 1.3387,                 1.2819,                 1.1879,                0.42574,                0.46482,                0.47249,                 0.2513,                 1.7834,                 1.9957,                 1.5122,              0.0013866,              0.0013866,              0.0013866
                     32,                 1.3127,                 1.1897,                 1.2018,                0.36553,                0.49444,                 0.4181,                 0.2242,                  1.828,                 2.2145,                 1.5241,              0.0013851,              0.0013851,              0.0013851
                     33,                 1.3439,                 1.2115,                 1.1686,                0.45896,                0.53343,                0.46279,                0.25481,                 1.8285,                 2.1068,                 1.5021,              0.0013837,              0.0013837,              0.0013837
                     34,                 1.3685,                 1.1926,                 1.2019,                0.77577,                0.52986,                0.51705,                0.28331,                 1.8254,                 1.8797,                 1.4822,              0.0013823,              0.0013823,              0.0013823
                     35,                 1.3092,                 1.1166,                 1.1533,                0.59701,                0.69486,                0.59433,                0.30966,                 1.8172,                 1.7804,                 1.5153,              0.0013809,              0.0013809,              0.0013809
                     36,                 1.3045,                 1.1871,                 1.1778,                0.75399,                0.58989,                0.66492,                0.32945,                 1.8712,                 1.5034,                 1.5181,              0.0013795,              0.0013795,              0.0013795
                     37,                 1.3289,                 1.1748,                 1.1733,                0.56501,                0.67215,                0.65027,                0.34064,                  1.843,                 1.6004,                 1.4735,              0.0013781,              0.0013781,              0.0013781
                     38,                 1.2878,                 1.1721,                 1.1542,                0.62964,                0.52406,                0.58797,                0.30345,                 1.8054,                 1.6218,                 1.4726,              0.0013767,              0.0013767,              0.0013767
                     39,                 1.2492,                   1.14,                 1.1471,                0.69578,                0.55754,                0.66064,                0.34526,                 1.7677,                 1.9922,                 1.4957,              0.0013752,              0.0013752,              0.0013752
